Company Name,Company_url,salary,designation_list,location_list,qualification_list
Xentric Technologies Pvt Ltd,https://in.indeed.com/cmp/Xentric-Technologies-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kt44jgpdr800&fromjk=1d4f037d87548a3c,"₹13,00,000 a year",Python/Django Developer,"Xentric Technologies Pvt LtdPune, Maharashtra",Bachelor's (Preferred)Python: 3 years (Preferred)aws cloud services: 3 years (Preferred)
Mansa Infotech Pvt Ltd,https://in.indeed.com/cmp/Mansa-Infotech-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kt9r129qo000&fromjk=8747e5690134f115,NA,Python Developer,Mansa Infotech Pvt LtdRemoteRemote,Bachelor's (Preferred)Python: 2 years (Preferred)total work: 2 years (Preferred)
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6ktfofjrh7803&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
iQuest,https://in.indeed.com/cmp/Mosahay-Associate?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6ktpf3jtu5800&fromjk=e0a2dfd7dc6cac9b,"Up to ₹20,00,000 a year",Python Developer,"iQuestPune, Maharashtra",NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6ktv76j9gs800&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
AltissAdvance Tech Private Limited,https://in.indeed.com/cmp/Altissadvance-Tech-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6ku4vtkcr7800&fromjk=4601a7cf1d2ae19d,"From ₹10,000 a month",Junior Python Developer,"AltissAdvance Tech Private LimitedMumbai, Maharashtra",Bachelor's (Required)
LBS,https://in.indeed.com/cmp/Lbs-429e500c?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kuaofienv800&fromjk=80dc5a5280cdacee,"₹80,000 - ₹1,50,000 a month",Python/Backend Developer,"LBSBengaluru, KarnatakaRemote",Python: 5 years (Required)total work: 5 years (Required)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kugi9jtu5801&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
NeoSOFT,https://in.indeed.com/cmp/Neosoft-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kum9tkcq6800&fromjk=76fb1f8b8be4956f,"₹6,00,000 - ₹18,00,000 a year",Python Developer,"NeoSOFTMumbai, Maharashtra",Python: 3 years (Required)
Curbwaste,https://in.indeed.com/cmp/Curbwaste-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kus1cjl2o800&fromjk=b638099a7e1cb30d,"₹50,000 - ₹1,20,000 a month",Software Engineer,"CurbwasteMumbai, Maharashtra",NA
knorex india,https://in.indeed.com/cmp/Knorex-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kv1q8kcpl801&fromjk=9c77785a903d00f7,"₹3,72,169 - ₹16,31,390 a year","Data Engineer(Python, Scala, Spark)","knorex indiaPune, MaharashtraRemote",total work: 2 years (Preferred)Python: 1 year (Preferred)Scala: 1 year (Preferred)Spark: 1 year (Preferred)Mongo DB: 1 year (Preferred)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kv7i0gpds800&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kvhha2eh9001&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
Mansa Infotech Pvt Ltd,https://in.indeed.com/cmp/Mansa-Infotech-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kvrh9i99c800&fromjk=8747e5690134f115,NA,Python Developer,Mansa Infotech Pvt LtdRemoteRemote,Bachelor's (Preferred)Python: 2 years (Preferred)total work: 2 years (Preferred)
Xentric Technologies Pvt Ltd,https://in.indeed.com/cmp/Xentric-Technologies-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l01abj9ij800&fromjk=1d4f037d87548a3c,"₹13,00,000 a year",Python/Django Developer,"Xentric Technologies Pvt LtdPune, Maharashtra",Bachelor's (Preferred)Python: 3 years (Preferred)aws cloud services: 3 years (Preferred)
iQuest,https://in.indeed.com/cmp/Mosahay-Associate?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l073qkcpt800&fromjk=e0a2dfd7dc6cac9b,"Up to ₹20,00,000 a year",Python Developer,"iQuestPune, Maharashtra",NA
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l0of8jtug800&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
AltissAdvance Tech Private Limited,https://in.indeed.com/cmp/Altissadvance-Tech-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l0ud52ekd000&fromjk=4601a7cf1d2ae19d,"From ₹10,000 a month",Junior Python Developer,"AltissAdvance Tech Private LimitedMumbai, Maharashtra",Bachelor's (Required)
knorex india,https://in.indeed.com/cmp/Knorex-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l145gkcq2800&fromjk=9c77785a903d00f7,"₹3,72,169 - ₹16,31,390 a year","Data Engineer(Python, Scala, Spark)","knorex indiaPune, MaharashtraRemote",total work: 2 years (Preferred)Python: 1 year (Preferred)Scala: 1 year (Preferred)Spark: 1 year (Preferred)Mongo DB: 1 year (Preferred)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l19u5gpfm800&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
Mansa Infotech Pvt Ltd,https://in.indeed.com/cmp/Mansa-Infotech-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l1imjic8m800&fromjk=8747e5690134f115,NA,Python Developer,Mansa Infotech Pvt LtdRemoteRemote,Bachelor's (Preferred)Python: 2 years (Preferred)total work: 2 years (Preferred)
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l1rqrkcqm800&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
knorex india,https://in.indeed.com/cmp/Knorex-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l21kbj6e4800&fromjk=9c77785a903d00f7,"₹3,72,169 - ₹16,31,390 a year","Data Engineer(Python, Scala, Spark)","knorex indiaPune, MaharashtraRemote",total work: 2 years (Preferred)Python: 1 year (Preferred)Scala: 1 year (Preferred)Spark: 1 year (Preferred)Mongo DB: 1 year (Preferred)
Xentric Technologies Pvt Ltd,https://in.indeed.com/cmp/Xentric-Technologies-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l27chjrh7800&fromjk=1d4f037d87548a3c,"₹13,00,000 a year",Python/Django Developer,"Xentric Technologies Pvt LtdPune, Maharashtra",Bachelor's (Preferred)Python: 3 years (Preferred)aws cloud services: 3 years (Preferred)
Mansa Infotech Pvt Ltd,https://in.indeed.com/cmp/Mansa-Infotech-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l2d4oienv800&fromjk=8747e5690134f115,NA,Python Developer,Mansa Infotech Pvt LtdRemoteRemote,Bachelor's (Preferred)Python: 2 years (Preferred)total work: 2 years (Preferred)
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l2iu22id0000&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
iQuest,https://in.indeed.com/cmp/Mosahay-Associate?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l2omnkcqv800&fromjk=e0a2dfd7dc6cac9b,"Up to ₹20,00,000 a year",Python Developer,"iQuestPune, Maharashtra",NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l2ue7kcqk800&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
AltissAdvance Tech Private Limited,https://in.indeed.com/cmp/Altissadvance-Tech-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l348og814801&fromjk=4601a7cf1d2ae19d,"From ₹10,000 a month",Junior Python Developer,"AltissAdvance Tech Private LimitedMumbai, Maharashtra",Bachelor's (Required)
LBS,https://in.indeed.com/cmp/Lbs-429e500c?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l3a2hkcq3800&fromjk=80dc5a5280cdacee,"₹80,000 - ₹1,50,000 a month",Python/Backend Developer,"LBSBengaluru, KarnatakaRemote",Python: 5 years (Required)total work: 5 years (Required)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l3fpikcq3803&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
NeoSOFT,https://in.indeed.com/cmp/Neosoft-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l3pkp2bjr000&fromjk=76fb1f8b8be4956f,"₹6,00,000 - ₹18,00,000 a year",Python Developer,"NeoSOFTMumbai, Maharashtra",Python: 3 years (Required)
Curbwaste,https://in.indeed.com/cmp/Curbwaste-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l43imkcqu800&fromjk=b638099a7e1cb30d,"₹50,000 - ₹1,20,000 a month",Software Engineer,"CurbwasteMumbai, Maharashtra",NA
knorex india,https://in.indeed.com/cmp/Knorex-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l49abg814801&fromjk=9c77785a903d00f7,"₹3,72,169 - ₹16,31,390 a year","Data Engineer(Python, Scala, Spark)","knorex indiaPune, MaharashtraRemote",total work: 2 years (Preferred)Python: 1 year (Preferred)Scala: 1 year (Preferred)Spark: 1 year (Preferred)Mongo DB: 1 year (Preferred)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l4f32kcqv800&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l4krlgpfm800&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
Mansa Infotech Pvt Ltd,https://in.indeed.com/cmp/Mansa-Infotech-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l4qlagpds800&fromjk=8747e5690134f115,NA,Python Developer,Mansa Infotech Pvt LtdRemoteRemote,Bachelor's (Preferred)Python: 2 years (Preferred)total work: 2 years (Preferred)
Xentric Technologies Pvt Ltd,https://in.indeed.com/cmp/Xentric-Technologies-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l50epkcr4800&fromjk=1d4f037d87548a3c,"₹13,00,000 a year",Python/Django Developer,"Xentric Technologies Pvt LtdPune, Maharashtra",Bachelor's (Preferred)Python: 3 years (Preferred)aws cloud services: 3 years (Preferred)
iQuest,https://in.indeed.com/cmp/Mosahay-Associate?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l568vkcpq800&fromjk=e0a2dfd7dc6cac9b,"Up to ₹20,00,000 a year",Python Developer,"iQuestPune, Maharashtra",NA
knorex india,https://in.indeed.com/cmp/Knorex-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l5c14jv5r800&fromjk=9c77785a903d00f7,"₹3,72,169 - ₹16,31,390 a year","Data Engineer(Python, Scala, Spark)","knorex indiaPune, MaharashtraRemote",total work: 2 years (Preferred)Python: 1 year (Preferred)Scala: 1 year (Preferred)Spark: 1 year (Preferred)Mongo DB: 1 year (Preferred)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l5htagpds800&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
Mansa Infotech Pvt Ltd,https://in.indeed.com/cmp/Mansa-Infotech-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l5rkqg82f800&fromjk=8747e5690134f115,NA,Python Developer,Mansa Infotech Pvt LtdRemoteRemote,Bachelor's (Preferred)Python: 2 years (Preferred)total work: 2 years (Preferred)
Curbwaste,https://in.indeed.com/cmp/Curbwaste-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l663ajv6v800&fromjk=b638099a7e1cb30d,"₹50,000 - ₹1,20,000 a month",Software Engineer,"CurbwasteMumbai, Maharashtra",NA
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l6bs1g814800&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
BizzO,https://in.indeed.com/cmp/Bizzo?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l6hlhkcrv800&fromjk=4904bb5624eabdda,NA,Python developer,"BizzOMumbai, Maharashtra",NA
Fernstop solutions,https://in.indeed.com/cmp/Fernstop-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l6neni9bo800&fromjk=06d4b7437b81c7fb,"From ₹20,00,000 a year",Python Developer,"Fernstop solutionsPune, MaharashtraRemote",Bachelor's (Preferred)Python: 1 year (Preferred)total work: 1 year (Preferred)
LBS,https://in.indeed.com/cmp/Lbs-429e500c?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6l6t77294a000&fromjk=80dc5a5280cdacee,"₹80,000 - ₹1,50,000 a month",Python/Backend Developer,"LBSBengaluru, KarnatakaRemote",Python: 5 years (Required)total work: 5 years (Required)
